study_run,condition,operator_slot,role,sequence_position,task_slot,dataset_variant,case_id,elapsed_seconds,outcome,penalty_seconds,validity_note
UNASSIGNED,pilot,O03,segreteria,1,T19,B,B-T19,,,,
UNASSIGNED,pilot,O03,segreteria,2,T20,B,B-T20,,,,
UNASSIGNED,pilot,O03,segreteria,3,T01,B,B-T01,,,,
UNASSIGNED,pilot,O03,segreteria,4,T02,B,B-T02,,,,
UNASSIGNED,pilot,O03,segreteria,5,T03,B,B-T03,,,,
UNASSIGNED,pilot,O03,segreteria,6,T04,B,B-T04,,,,
UNASSIGNED,pilot,O03,segreteria,7,T05,B,B-T05,,,,
UNASSIGNED,pilot,O03,segreteria,8,T06,B,B-T06,,,,
UNASSIGNED,pilot,O03,segreteria,9,T07,B,B-T07,,,,
UNASSIGNED,pilot,O03,segreteria,10,T08,B,B-T08,,,,
UNASSIGNED,pilot,O03,segreteria,11,T09,B,B-T09,,,,
UNASSIGNED,pilot,O03,segreteria,12,T10,B,B-T10,,,,
UNASSIGNED,pilot,O03,segreteria,13,T11,B,B-T11,,,,
UNASSIGNED,pilot,O03,segreteria,14,T12,B,B-T12,,,,
UNASSIGNED,pilot,O03,segreteria,15,T13,B,B-T13,,,,
UNASSIGNED,pilot,O03,segreteria,16,T14,B,B-T14,,,,
UNASSIGNED,pilot,O03,segreteria,17,T15,B,B-T15,,,,
UNASSIGNED,pilot,O03,segreteria,18,T16,B,B-T16,,,,
UNASSIGNED,pilot,O03,segreteria,19,T17,B,B-T17,,,,
UNASSIGNED,pilot,O03,segreteria,20,T18,B,B-T18,,,,
UNASSIGNED,pilot,O04,segreteria,1,T03,A,A-T03,,,,
UNASSIGNED,pilot,O04,segreteria,2,T04,A,A-T04,,,,
UNASSIGNED,pilot,O04,segreteria,3,T05,A,A-T05,,,,
UNASSIGNED,pilot,O04,segreteria,4,T06,A,A-T06,,,,
UNASSIGNED,pilot,O04,segreteria,5,T07,A,A-T07,,,,
UNASSIGNED,pilot,O04,segreteria,6,T08,A,A-T08,,,,
UNASSIGNED,pilot,O04,segreteria,7,T09,A,A-T09,,,,
UNASSIGNED,pilot,O04,segreteria,8,T10,A,A-T10,,,,
UNASSIGNED,pilot,O04,segreteria,9,T11,A,A-T11,,,,
UNASSIGNED,pilot,O04,segreteria,10,T12,A,A-T12,,,,
UNASSIGNED,pilot,O04,segreteria,11,T13,A,A-T13,,,,
UNASSIGNED,pilot,O04,segreteria,12,T14,A,A-T14,,,,
UNASSIGNED,pilot,O04,segreteria,13,T15,A,A-T15,,,,
UNASSIGNED,pilot,O04,segreteria,14,T16,A,A-T16,,,,
UNASSIGNED,pilot,O04,segreteria,15,T17,A,A-T17,,,,
UNASSIGNED,pilot,O04,segreteria,16,T18,A,A-T18,,,,
UNASSIGNED,pilot,O04,segreteria,17,T19,A,A-T19,,,,
UNASSIGNED,pilot,O04,segreteria,18,T20,A,A-T20,,,,
UNASSIGNED,pilot,O04,segreteria,19,T01,A,A-T01,,,,
UNASSIGNED,pilot,O04,segreteria,20,T02,A,A-T02,,,,
UNASSIGNED,pilot,O05,da_confermare,1,T07,B,B-T07,,,,
UNASSIGNED,pilot,O05,da_confermare,2,T08,B,B-T08,,,,
UNASSIGNED,pilot,O05,da_confermare,3,T09,B,B-T09,,,,
UNASSIGNED,pilot,O05,da_confermare,4,T10,B,B-T10,,,,
UNASSIGNED,pilot,O05,da_confermare,5,T11,B,B-T11,,,,
UNASSIGNED,pilot,O05,da_confermare,6,T12,B,B-T12,,,,
UNASSIGNED,pilot,O05,da_confermare,7,T13,B,B-T13,,,,
UNASSIGNED,pilot,O05,da_confermare,8,T14,B,B-T14,,,,
UNASSIGNED,pilot,O05,da_confermare,9,T15,B,B-T15,,,,
UNASSIGNED,pilot,O05,da_confermare,10,T16,B,B-T16,,,,
UNASSIGNED,pilot,O05,da_confermare,11,T17,B,B-T17,,,,
UNASSIGNED,pilot,O05,da_confermare,12,T18,B,B-T18,,,,
UNASSIGNED,pilot,O05,da_confermare,13,T19,B,B-T19,,,,
UNASSIGNED,pilot,O05,da_confermare,14,T20,B,B-T20,,,,
UNASSIGNED,pilot,O05,da_confermare,15,T01,B,B-T01,,,,
UNASSIGNED,pilot,O05,da_confermare,16,T02,B,B-T02,,,,
UNASSIGNED,pilot,O05,da_confermare,17,T03,B,B-T03,,,,
UNASSIGNED,pilot,O05,da_confermare,18,T04,B,B-T04,,,,
UNASSIGNED,pilot,O05,da_confermare,19,T05,B,B-T05,,,,
UNASSIGNED,pilot,O05,da_confermare,20,T06,B,B-T06,,,,
